num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,sistema,estatus
662,Manzano,Circuito Interior,Axotla,Alvaro Obregon,19.362041,-99.175158,Arroyo,Ecobici,Pendientes de instalación
663,Hortensia,Avenida Universidad,Axotla,Alvaro Obregon,19.3548028,-99.17541944,Arroyo,Ecobici,Pendientes de instalación
666,Moras,Naranjo,Florida,Alvaro Obregon,19.3614885,-99.17743249,Arroyo,Ecobici,Pendientes de instalación
665,Moras,Mango,Florida,Alvaro Obregon,19.3589028,-99.17799722,Arroyo,Ecobici,Pendientes de instalación
678,Francia,Tecoyotitla,Florida,Alvaro Obregon,19.35886344,-99.18292974,Arroyo,Ecobici,Pendientes de instalación
675,Macedonio Alcala,Gustavo Emilio Campa,Guadalupe Inn,Alvaro Obregon,19.36146,-99.1877,Arroyo,Ecobici,Pendientes de instalación
674,Manuel M Ponce,Barranca del Muerto,Guadalupe Inn,Alvaro Obregon,19.361233,-99.184953,Arroyo,Ecobici,Pendientes de instalación
676,Ricardo Palmerin,Abundio Martinez,Guadalupe Inn,Alvaro Obregon,19.358262,-99.18809,Arroyo,Ecobici,Pendientes de instalación
682,Manuel M Ponce,Fernando M Villalpando,Guadalupe Inn,Alvaro Obregon,19.35355,-99.189519,Arroyo,Ecobici,Pendientes de instalación
664,Hortensia,2da cerrrada de Minerva,Florida,Alvaro Obregon,19.355544,-99.178992,Arroyo,Ecobici,Pendientes de instalación
679,Olivo,Tecoyotitla,Florida,Alvaro Obregon,19.354886,-99.184642,Arroyo,Ecobici,Pendientes de instalación
684,Vito Alessio Robles,Tecoyotitla,Guadalupe Chimalistac,Alvaro Obregon,19.351594,-99.184772,Arroyo,Ecobici,Pendientes de instalación
686,Avenida Vito Alessio Robles,Avenida Universidad,Agricola,Alvaro Obregon,19.352203,-99.178393,Arroyo,Ecobici,Pendientes de instalación
685,Avenida de la Paz,Avenida Miguel Angel de Quevedo,Guadalupe Chimalistac,Alvaro Obregon,19.348019,-99.185802,Banqueta,Ecobici,Pendientes de instalación
